"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"5v_in1","1","10164359-00011LF","","","","Ians_Parts:AMPHENOL_10164359-00011LF",""
"C1,C2,C5,C6,C7","5","0.1µF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.vishay.com/docs/45164/aseries.pdf"
"C3,C4","2","10µF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/YXJ.pdf,~"
"D1,D2","2","LED","","","","PCM_LED_SMD_Handsoldering_AKL:LED_1206_3216Metric_Pad1.42x1.75mm","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.7mm_M2.5_ISO14580","~"
"J1","1","Raspberry Pi Header","","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~"
"J2","1","Relay terminal 1","","","","Ians_Parts:PHOENIX_1990083","~"
"J3","1","Relay terminal 2","","","","Ians_Parts:PHOENIX_1990083","~"
"J4","1","I2C 5V 1","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J5","1","I2C 5V 2","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J6","1","Screw_Terminal_01x03","","","","Ians_Parts:PHOENIX_1729131","~"
"J7","1","Relay Expansion","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J22,J23","2","Expansion","","","","Connector_Molex:Molex_SL_171971-0010_1x10_P2.54mm_Vertical","https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/705/70543/705430042_sd.pdf?inline"
"R1,R2","2","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/sei-cf_cfm.pdf"
"R3","1","1.5k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/sei-cf_cfm.pdf"
"R4,R5","2","5.1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R6","1","470","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/sei-cf_cfm.pdf"
"R7","1","2k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/sei-cf_cfm.pdf"
"R8","1","3.3k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/sei-cf_cfm.pdf"
"SW1","1","SW_Slide_DPDT","","","","Ians_Parts:DPDT Slide switch - CL-SB-22C-02","https://www.nidec-components.com/e/catalog/switch/cl-sb.pdf"
"U1,U2","2","74HC595","","","","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"U3","1","113991054","","","","Ians_Parts:MODULE_113991054",""
"U4","1","LSF0102DCUR","","","","Ians_Parts:SOP50P310X90-8N","kicad-embed://lsf0102.pdf"
